boj,rating1,cp,rating2
bug_limit_exceeded,2200,foundnt_Alice,1687
cocoa_chan,2200,Kaling,2243
eric9709,2200,JEMINI,1388
mbae059,2200,mbae059,1630
parkpkww,2200,Parkpkww,1636
20210805,2198,kimerikal,1560
sr3gm,2197,sr3gm2,1472
akswnd98,2196,fishbowl,1285
dhdroid,2196,diordhd,1920
vega,2194,vega_inu,1383
tykr0001,2192,tykr0001,1411
Apple_Cplus,2191,Apple_Cplus,1871
jjmjm2002,2191,jjmjm2002,1267
tjdgus4384,2191,tjdgus4384,1625
mooni,2189,Mooni,1987
rasauq1122,2188,kimturing,1610
turgon314,2188,turgon314,1917
huisung0205,2187,Huisung,1421
juneharold,2187,juneharold,1779
louisdebroglie,2187,louisdebroglie,0
onteeae,2187,onteeae,1643
ygonepiece,2185,ygonepiece,1645
impri,2184,hjhjnnaaa,1868
o9j8w7,2184,secantree,1604
poketred12,2184,poketred12,1411
ghdcks33,2183,32185010,1072
penguin1234,2183,penguin34,1739
sd12339,2183,0-1,589
lys9546,2181,sjmjys954646,1139
RiKang,2181,RiKang,2251
sky0331,2180,joftware,1394
fbdp1202,2178,fbdp1202,1646
malratz,2178,malratz,1303
suhodnkla,2178,suhodnkla,0
bossusuprem,2175,Bossusuprem,2153
dlaud5379,2174,EatChangmyeong,1709
rbtmd1010,2174,seanhwang10,1545
p_jun,2173,p_jun,1520
yous,2173,yous0,1584
ljwljw8541,2172,packkill,1626
openingsound,2172,openingsound,1806
holmane333,2170,holmane333,512
ydk1104,2166,dkyun,1820
0203peter,2165,0203peter,1349
hu8232,2165,hu8232,1418
ls4154,2165,ls4154,1778
rkdxowhd98,2163,rkdxowhd98,1312
enthsxpzm,2162,enthsxpzm,640
QuqqU,2162,QuqqU,1719
cdt416z,2160,Yoonlang,758
coffeetea,2160,Coffeetea,1921
kimmy04,2160,CW_complex,1731
starwarscks,2160,chanyoung05,1863
qkrlwsnd,2158,Everb1ue,1520
duram21,2156,duram21,1429
jatana,2155,Jatana,2188
woo960131,2155,woo960131,2027
skdudn321,2154,skdudn12378,1934
tothesky7,2154,Skile,1652
joysteve,2153,joysteve,963
314programs,2151,314programs,1256
Rose,2151,Rose,1711
lim551,2150,unkoob,2001
kimcoding,2149,Kimcoding,1707
wwiiiii,2149,wwiiiii,2007
bunker12383,2148,HJPyo,1185
grands,2148,grands,1411
wlgh7407,2148,wlgh7407,1216
kkw564,2147,kkw564,1644
ujoon,2147,ujoon,0
wogudwkd12,2147,wogudwkd1233,1408
kss418,2146,TRErnD,1417
eka,2145,nicnic4102,1671
namhong2001,2145,namhong2001,1674
ness9917,2143,ness9917,1403
wkd1685,2143,wkd16885,1443
saycorn,2142,Saycorn,1470
shyram,2142,shyram,1805
kjykju7457,2141,kjykju7457,1572
